lat,long,elevation_m,distance_km
56.15768,-3.94327,61.7,0
56.15765,-3.943,62.2,0.017
56.15755,-3.94236,62.5,0.058
56.15738,-3.94133,61.8,0.125
56.15736,-3.94119,61.7,0.134
56.15713,-3.94023,60,0.199
56.15687,-3.93956,58.1,0.249
56.15662,-3.93917,54.9,0.286
56.15661,-3.93915,54.9,0.288
56.15639,-3.93884,55,0.319
56.15621,-3.93851,54.6,0.348
56.15599,-3.93794,52.9,0.391
56.15574,-3.9371,52.2,0.45
56.15561,-3.9366,52.1,0.484
56.15559,-3.93654,52,0.488
56.15558,-3.93633,52.5,0.501
56.15502,-3.93638,47.9,0.564
56.15449,-3.93647,44.5,0.623
56.15395,-3.936425,40,0.683
56.15341,-3.93638,33.7,0.743
56.15339,-3.9362,34.4,0.755
56.15338,-3.93601,35.2,0.766
56.15337,-3.93598,35.3,0.769
56.15335,-3.93559,37,0.793
56.15333,-3.93542,37.7,0.804
56.15332,-3.93531,38.2,0.811
56.15328,-3.93495,39.3,0.833
56.15321,-3.93472,39.5,0.85
56.15306,-3.9344,39.4,0.876
56.15301,-3.93433,39.3,0.883
56.1529,-3.93416,39.3,0.899
56.15239,-3.93353,39.2,0.968
56.15219,-3.93328,39.1,0.995
56.15169,-3.93255,38.6,1.067
56.15127,-3.93173,40.6,1.136
56.15114,-3.93135,40.1,1.163
56.15108,-3.93113,39.7,1.178
56.15107,-3.93108,39.6,1.182
56.15107,-3.93106,39.6,1.183
56.15093,-3.93016,40,1.241
56.15086,-3.93,39.7,1.254
56.1508,-3.92992,39.4,1.262
56.15057,-3.92975,38.5,1.29
56.1506,-3.92896,40.5,1.339
56.15056,-3.92867,40.8,1.357
56.15043,-3.9278,41.7,1.413
56.15039,-3.9275,42,1.432
56.1501,-3.92623,44.6,1.517
56.14984,-3.92526,45.6,1.584
56.14979,-3.92502,45.9,1.6
56.14978,-3.92493,46.2,1.606
56.14977,-3.92487,46.3,1.609
56.14977,-3.9248,46.5,1.614
56.14978,-3.92474,46.9,1.618
56.14979,-3.92469,47.2,1.621
56.14983,-3.92462,48.2,1.627
56.14987,-3.92453,49.2,1.634
56.15016,-3.92408,57.7,1.677
56.15028,-3.92382,62.4,1.698
56.15031,-3.92375,63.6,1.703
56.15034,-3.92372,64.6,1.707
56.15038,-3.92369,65.9,1.712
56.15042,-3.92369,66.9,1.717
56.15046,-3.92369,67.9,1.721
56.15051,-3.92375,68.8,1.728
56.15061,-3.9239,70.2,1.742
56.15104,-3.9246,74.1,1.807
56.15127,-3.92486,76.3,1.837
56.15147,-3.92504,78.2,1.862
56.15181,-3.92539,79.6,1.906
56.15191,-3.92544,79.9,1.917
56.15209,-3.92546,81.6,1.937
56.15214,-3.92545,82.3,1.943
56.15218,-3.92542,83.1,1.948
56.15227,-3.9253,85.7,1.96
56.15238,-3.92509,89.4,1.978
