What type of employee are you?,,,,I would work for comX again,,,,,I am always busy at comX,,,,,My line manager values my contributions,,,,,I think Directors are paid the right amount,,,,
Director,Consultant,HR,Admin,I would work for comX again - Strongly disagree,I would work for comX again - Disagree,I would work for comX again - Neither agree nor disagree,I would work for comX again - Agree,I would work for comX again - Strongly agree,I am always busy at comX - Strongly disagree,I am always busy at comX - Disagree,I am always busy at comX - Neither agree nor disagree,I am always busy at comX - Agree,I am always busy at comX - Strongly agree,My line manager values my contributions - Strongly disagree,My line manager values my contributions - Disagree,My line manager values my contributions - Neither agree nor disagree,My line manager values my contributions - Agree,My line manager values my contributions - Strongly agree,I think Directors are paid the right amount - Strongly disagree,I think Directors are paid the right amount - Disagree,I think Directors are paid the right amount - Neither agree nor disagree,I think Directors are paid the right amount - Agree,I think Directors are paid the right amount - Strongly agree
,,,Admin,Strongly disagree,,,,,,,,,Strongly agree,Strongly disagree,,,,,Strongly disagree,,,,
,,,Admin,Strongly disagree,,,,,,,,,Strongly agree,Strongly disagree,,,,,Strongly disagree,,,,
,,,Admin,,Disagree,,,,,,,,Strongly agree,Strongly disagree,,,,,Strongly disagree,,,,
,,,Admin,,Disagree,,,,,,,Agree,,Strongly disagree,,,,,Strongly disagree,,,,
,,,Admin,,Disagree,,,,,,,Agree,,Strongly disagree,,,,,Strongly disagree,,,,
,,,Admin,,,Neither agree nor disagree,,,,,,Agree,,Strongly disagree,,,,,,,,,Strongly agree
,,,Admin,,Disagree,,,,,,Neither agree nor disagree,,,Strongly disagree,,,,,,Disagree,,,
,,,Admin,,,,Agree,,,Disagree,,,,Strongly disagree,,,,,,,Neither agree nor disagree,,
,,,Admin,,,,,Strongly agree,Strongly disagree,,,,,Strongly disagree,,,,,,,,Agree,
,,HR,,,Disagree,,,,,,,,Strongly agree,Strongly disagree,,,,,,Disagree,,,
,,HR,,,Disagree,,,,,,Neither agree nor disagree,,,Strongly disagree,,,,,,Disagree,,,
,,HR,,,Disagree,,,,,,Neither agree nor disagree,,,Strongly disagree,,,,,,Disagree,,,
,,HR,,,Disagree,,,,,,Neither agree nor disagree,,,Strongly disagree,,,,,,Disagree,,,
,,HR,,,Disagree,,,,,,Neither agree nor disagree,,,Strongly disagree,,,,,,Disagree,,,
,,HR,,,Disagree,,,,,Disagree,,,,Strongly disagree,,,,,,Disagree,,,
,,HR,,,Disagree,,,,,,,Agree,,Strongly disagree,,,,,,Disagree,,,
,,HR,,,Disagree,,,,,,,Agree,,Strongly disagree,,,,,,Disagree,,,
,,HR,,,Disagree,,,,,Disagree,,,,Strongly disagree,,,,,,Disagree,,,
,,HR,,,,Neither agree nor disagree,,,,Disagree,,,,Strongly disagree,,,,,,Disagree,,,
,Consultant,,,,,Neither agree nor disagree,,,,,,,Strongly agree,Strongly disagree,,,,,,Disagree,,,
,Consultant,,,,Disagree,,,,,Disagree,,,,Strongly disagree,,,,,,,Neither agree nor disagree,,
,Consultant,,,,,,Agree,,,Disagree,,,,Strongly disagree,,,,,,Disagree,,,
,Consultant,,,,Disagree,,,,,,Neither agree nor disagree,,,Strongly disagree,,,,,,Disagree,,,
,Consultant,,,Strongly disagree,,,,,,,Neither agree nor disagree,,,Strongly disagree,,,,,Strongly disagree,Disagree,,,
,Consultant,,,,,,Agree,,,,Neither agree nor disagree,,,,Disagree,,,,Strongly disagree,,,,
Director,,,,,,,,Strongly agree,Strongly disagree,,,,,,,Neither agree nor disagree,,,,,,,Strongly agree
Director,,,,Strongly disagree,,,,,,,,Agree,,,,,Agree,,,,,Agree,
Director,,,,,,,,Strongly agree,,,,Agree,,,,,,Strongly agree,,,,Agree,
Director,,,,,,,,Strongly agree,,,,Agree,,Strongly disagree,,,,,,,,Agree,
Director,,,,,,,,Strongly agree,,,,Agree,,Strongly disagree,,,,,,,,Agree,
Director,,,,,,,,Strongly agree,,,Neither agree nor disagree,,,Strongly disagree,,,,,,,Neither agree nor disagree,,
